,0,1
0,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/images/0497136.png,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/masks/0497136_mask.png
1,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/images/0498136.png,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/masks/0498136_mask.png
2,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/images/0499137.png,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/masks/0499137_mask.png
3,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/images/0500137.png,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/masks/0500137_mask.png
4,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/images/0501137.png,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/masks/0501137_mask.png
5,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/images/0502137.png,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/masks/0502137_mask.png
6,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/images/0503137.png,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/masks/0503137_mask.png
7,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/images/0504137.png,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/masks/0504137_mask.png
8,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/images/0505137.png,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/masks/0505137_mask.png
9,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/images/0506137.png,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/masks/0506137_mask.png
10,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/images/0507137.png,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/masks/0507137_mask.png
11,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/images/0508137.png,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/masks/0508137_mask.png
12,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/images/0509137.png,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/masks/0509137_mask.png
13,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/images/0510137.png,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/masks/0510137_mask.png
14,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/images/0511137.png,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/masks/0511137_mask.png
15,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/images/0512137.png,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/masks/0512137_mask.png
16,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/images/0513137.png,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/masks/0513137_mask.png
17,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/images/0514137.png,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/masks/0514137_mask.png
18,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/images/0515137.png,/data/flahartyka/finetune-SAM/datasets/cervical-multilabel/masks/0515137_mask.png
