img_path,ground_truth_label
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0001035.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0002035.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0003035.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0004035.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0005035.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0006035.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0007035.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0008035.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0009035.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0010035.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0011036.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0012036.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0013036.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0014036.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0015036.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0016036.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0017036.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0018037.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0019037.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0020037.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0021037.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0022037.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0023037.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0024037.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0025037.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0026037.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0027038.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0028038.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0029038.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0030038.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0031038.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0032038.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0033038.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0034038.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0035038.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0036039.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0037039.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0038039.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0039039.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0040039.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0041039.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0042039.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0043039.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0044039.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0045040.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0046040.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0047040.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0048040.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0049040.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0050040.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0051040.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0052041.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0053041.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0054041.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0055041.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0056041.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0057041.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0058042.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0059042.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0060042.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0061042.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0062042.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0063043.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0064043.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0065043.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0066043.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0067043.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0068043.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0069043.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0070043.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0071043.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0072043.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0073044.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0074044.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0075044.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0076045.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0077045.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0078045.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0079045.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0080046.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0081046.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0082046.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0083047.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0084047.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0085047.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0086048.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0087048.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0088048.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0089049.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0090050.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0091050.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0092050.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0093051.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0094051.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0095051.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0096052.png,0;1
/data/flahartyka/finetune-SAM/datasets/cervical-dataset/images/0097053.png,0;1
